"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 01 23:43:57 GMT 2024","Thu Feb 01 23:43:57 GMT 2024","333","","Работа с файлами","","guru.qa.tests.WorkWithFilesTests","jacksonJsonParsing","Парсинг json файла с помощью jackson",""
"broken","Thu Feb 01 23:43:46 GMT 2024","Thu Feb 01 23:43:46 GMT 2024","207","","guru.qa.tests.GitHubIssueTests","","guru.qa.tests.GitHubIssueTests","testNativeListenerStep","testNativeListenerStep()",""
"passed","Thu Feb 01 23:43:49 GMT 2024","Thu Feb 01 23:43:49 GMT 2024","1","","guru.qa.tests.SimpleJUnitTests","","guru.qa.tests.SimpleJUnitTests","secondTest","secondTest()",""
"broken","Thu Feb 01 23:43:44 GMT 2024","Thu Feb 01 23:43:45 GMT 2024","1665","","guru.qa.tests.DragAndDropTests","","guru.qa.tests.DragAndDropTests","dragAndDropTest","dragAndDropTest()",""
"broken","Thu Feb 01 23:43:48 GMT 2024","Thu Feb 01 23:43:49 GMT 2024","194","","Заполнение полей в форме TextBox","","guru.qa.tests.ParameterizedTextBoxTests","fillNameAndEmailInTextBoxFormTest","fillNameAndEmailInTextBoxFormTest(String, String) Заполнение полей full name - ""Имя"" и email - ""test@mail.ru"" в форме TextBox",""
"passed","Thu Feb 01 23:43:57 GMT 2024","Thu Feb 01 23:43:57 GMT 2024","14","","Работа с файлами","","guru.qa.tests.WorkWithFilesTests","checkCsvFileInZip","Чтение и проверка csv файла из архива",""
"broken","Thu Feb 01 23:43:56 GMT 2024","Thu Feb 01 23:43:56 GMT 2024","218","","guru.qa.tests.StudentRegistrationFormTests","","guru.qa.tests.StudentRegistrationFormTests","emptyStudentRegistrationFormTest","emptyStudentRegistrationFormTest()",""
"passed","Thu Feb 01 23:43:56 GMT 2024","Thu Feb 01 23:43:57 GMT 2024","635","","Работа с файлами","","guru.qa.tests.WorkWithFilesTests","checkXlsxFileInZip","Чтение и проверка xlsx файла из архива",""
"broken","Thu Feb 01 23:43:46 GMT 2024","Thu Feb 01 23:43:46 GMT 2024","211","","guru.qa.tests.GitHubIssueTests","","guru.qa.tests.GitHubIssueTests","testAnnotatedSteps","testAnnotatedSteps()",""
"broken","Thu Feb 01 23:43:47 GMT 2024","Thu Feb 01 23:43:47 GMT 2024","228","","Заполнение полей в форме TextBox","","guru.qa.tests.ParameterizedTextBoxTests","fillNameAndEmailAndCurrentAddressInTextBoxFormTest","fillNameAndEmailAndCurrentAddressInTextBoxFormTest(String, String, String) Заполнение полей full name - ""Имя"", email - ""test@mail.ru"" и current address - ""New-York, Newcomer st, 12/1"" в форме TextBox",""
"broken","Thu Feb 01 23:43:47 GMT 2024","Thu Feb 01 23:43:48 GMT 2024","203","","Заполнение полей в форме TextBox","","guru.qa.tests.ParameterizedTextBoxTests","fillEmailInTextBoxFormTest","fillEmailInTextBoxFormTest(String) Заполнение поля email значением ""test@mail.ru"" в форме TextBox",""
"broken","Thu Feb 01 23:43:46 GMT 2024","Thu Feb 01 23:43:46 GMT 2024","220","","guru.qa.tests.DragAndDropTests","","guru.qa.tests.DragAndDropTests","dragAndDropBySelenideDragAndDropFunctionTest","dragAndDropBySelenideDragAndDropFunctionTest()",""
